20260312 050200;24937;24940.75;24937;24940.75;4
20260312 050300;24936.5;24971;24936.5;24970.75;28
20260312 050400;24975;24987.25;24975;24979.75;50
20260312 050500;24980.75;24986;24980.75;24981.75;17
20260312 050600;24973.75;24989.75;24973.75;24989.75;7
20260312 050700;24990.5;24990.5;24985;24985;10
20260312 050800;24980;24980;24978.25;24978.25;3
20260312 050900;24981;24982.5;24981;24982.5;2
20260312 051000;24982.25;24982.25;24968;24968;4
20260312 051100;24968.25;24968.25;24968.25;24968.25;1
20260312 051200;24983;24983;24982.25;24982.25;3
20260312 051300;24984;24985.25;24983.75;24983.75;3
20260312 051400;24979;24979;24971.25;24971.25;5
20260312 051500;24969.25;24973.75;24966;24973.75;9
20260312 051700;24972.5;24972.5;24972.5;24972.5;1
20260312 051800;24972.5;24972.5;24972.5;24972.5;1
20260312 051900;24978.75;24978.75;24978.75;24978.75;2
20260312 052000;24973;24977.75;24972;24972.5;14
20260312 052100;24968.75;24968.75;24968.75;24968.75;3
20260312 052200;24967;24968.5;24967;24968.5;3
20260312 052300;24968.5;24968.75;24963.5;24968.75;10
20260312 052400;24968.75;24971.5;24968.75;24971.5;2
20260312 052500;24974;24974.75;24968.5;24968.5;8
20260312 052600;24964.25;24964.25;24960.5;24963.5;8
20260312 052700;24963.5;24963.5;24963.5;24963.5;1
20260312 052800;24971;24973;24971;24973;2
20260312 053000;24968;24968;24968;24968;1
20260312 053100;24968;24971;24968;24971;2
20260312 053200;24972.75;24973.5;24972.75;24973.5;2
20260312 053300;24973.5;24976.25;24973.5;24974.25;5
20260312 053400;24976.75;24977.25;24974.75;24976.75;4
20260312 053500;24974;24977;24974;24974;8
20260312 053600;24972.5;24974.25;24968;24968;10
20260312 053700;24967.25;24967.25;24962.75;24962.75;2
20260312 053800;24968.25;24969;24968;24969;4
20260312 054000;24973.25;24973.75;24973.25;24973.75;5
20260312 054100;24980.75;24985.5;24980.75;24985.5;5
20260312 054200;24985.75;24992.5;24985;24992.5;8
20260312 054300;24989;24989;24985.25;24985.25;6
20260312 054400;24988.75;24988.75;24986.25;24986.25;2
20260312 054600;24991.75;24991.75;24986.25;24991.25;11
20260312 054700;24988;24988;24988;24988;1
20260312 054800;24984.25;24984.25;24984.25;24984.25;1
20260312 054900;24985.25;24985.25;24959;24959;53
20260312 055000;24971;24971;24964.25;24964.25;3
20260312 055100;24959;24959;24959;24959;2
20260312 055200;24951.75;24957;24949.5;24951.5;10
20260312 055500;24966.75;24966.75;24966.75;24966.75;1
20260312 055600;24965.75;24965.75;24965.75;24965.75;1
20260312 055800;24967.75;24974.5;24967.75;24974.5;4
20260312 055900;24977.75;24978.25;24977.75;24978.25;2
20260312 060000;24981.5;24986.5;24981.5;24986.5;2
20260312 060100;24987;24987;24979;24979.75;18
20260312 060200;24970.5;24975.25;24970.5;24974.25;5
20260312 060500;24979.25;24979.25;24972.75;24972.75;4
20260312 060600;24978;24978.5;24977.25;24977.25;9
20260312 060700;24975.75;24975.75;24975.75;24975.75;1
20260312 060800;24974;24974;24974;24974;1
20260312 060900;24970;24970;24970;24970;1
20260312 061000;24973;24975;24973;24973.5;5
20260312 061200;24976.25;24976.25;24961.75;24961.75;2
20260312 061300;24967.75;24967.75;24967.75;24967.75;2
20260312 061500;24965;24965;24963.25;24963.25;3
20260312 061600;24970.25;24975.75;24970.25;24975.75;4
20260312 061700;24976;24982;24976;24977.75;9
20260312 061800;24978;24979;24976;24977.5;6
20260312 061900;24972.5;24972.5;24972.5;24972.5;3
20260312 062000;24971;24971;24971;24971;1
20260312 062100;24970;24971;24970;24971;5
20260312 062200;24980;24980;24980;24980;1
20260312 062300;24986.75;24986.75;24982.75;24982.75;2
20260312 062400;24989.75;24990;24989.75;24989.75;4
20260312 062500;24989.75;24989.75;24988.75;24988.75;2
20260312 062600;24990.5;24996;24975;24983.75;94
20260312 062700;24979;24999.75;24979;24994.75;39
20260312 062800;24999;24999;24998.5;24998.5;2
20260312 062900;24995.5;24996;24993.25;24993.25;6
20260312 063000;24996;25002.75;24994.75;25002.75;29
20260312 063100;25003;25006.25;25000;25000;12
20260312 063200;25000.75;25000.75;25000.75;25000.75;2
20260312 063300;25000;25000;25000;25000;2
20260312 063400;25000;25003.5;25000;25003.5;2
20260312 063500;25001.75;25009.75;25001.75;25006.5;8
20260312 063600;25010;25010;25005.75;25005.75;4
20260312 063700;25010;25011;25010;25011;4
20260312 063800;25008.75;25014.25;25007.75;25007.75;9
20260312 063900;25009.75;25009.75;25007.5;25007.5;2
20260312 064000;25009.5;25009.5;25004.75;25004.75;5
20260312 064100;24999.75;25005;24999.75;25005;5
20260312 064500;25009.75;25011.25;25009.75;25011.25;8
20260312 064700;25003.5;25006.25;25003.5;25006.25;2
20260312 064800;25011.5;25015;25011.25;25015;3
20260312 064900;25015.75;25021;25015.75;25018;20
20260312 065000;25016.5;25016.5;25014.75;25014.75;4
20260312 065100;25014.75;25020;25014.75;25020;2
20260312 065300;25019.25;25020;25019.25;25020;13
20260312 065400;25025;25026;25024;25024;4
20260312 065500;25024.25;25024.25;25024.25;25024.25;1
20260312 065600;25028.5;25028.5;25019.5;25019.5;14
20260312 065700;25020.5;25024.75;25020.5;25023.75;8
20260312 065800;25022;25022;25022;25022;3
20260312 065900;25020;25020.75;25020;25020.25;6
20260312 070000;25024.5;25024.5;25024.5;25024.5;1
20260312 070100;25025;25035;25024.25;25035;20
20260312 070200;25034.25;25035;25031.25;25031.25;7
20260312 070300;25035.5;25037.25;25031.25;25037.25;11
20260312 070400;25037.25;25037.25;25035.5;25035.5;3
20260312 070500;25037.25;25043;25034;25034;80
20260312 070600;25034;25037.5;25034;25037.5;10
20260312 070700;25036.5;25036.5;25033;25033;4
20260312 070800;25028.5;25030;25028.5;25030;3
20260312 070900;25034.75;25034.75;25034.75;25034.75;1
20260312 071000;25033.5;25034.75;25032;25032;6
20260312 071100;25027.25;25031.75;25027.25;25030;10
20260312 071200;25040;25040;25034;25035;6
20260312 071300;25033.5;25033.5;25033.5;25033.5;1
20260312 071400;25036.5;25036.5;25035.25;25035.25;3
20260312 071500;25036;25040;25036;25038;9
20260312 071600;25037.5;25038;25036.25;25037.25;9
20260312 071700;25039.75;25046;25039.75;25046;10
20260312 071800;25041.75;25041.75;25035.75;25038.5;3
20260312 071900;25040.25;25040.25;25039;25039;3
20260312 072000;25039;25039;25039;25039;1
20260312 072100;25043.25;25047.5;25043.25;25047.5;2
20260312 072200;25047.5;25047.5;25040.75;25040.75;3
20260312 072300;25040;25040;25035.75;25035.75;5
20260312 072400;25040;25040.75;25040;25040.75;3
20260312 072500;25043.25;25044.75;25043.25;25044.25;4
20260312 072600;25045;25045;25045;25045;1
20260312 072700;25047;25052;25047;25050;30
20260312 072800;25050;25051.25;25046.5;25051.25;9
20260312 072900;25049;25049.25;25049;25049;5
20260312 073100;25050;25050;25040;25042.25;9
20260312 073200;25041.25;25041.25;25041.25;25041.25;3
20260312 073300;25037.25;25037.25;25028.75;25032.25;17
20260312 073500;25035;25035;25032.75;25032.75;4
20260312 073600;25028;25028;25025;25025;6
20260312 073700;25026.5;25027.5;25026.5;25027.5;6
20260312 073800;25041.75;25041.75;25041.75;25041.75;1
20260312 073900;25043.75;25046.5;25037.75;25043;19
20260312 074000;25045.5;25045.5;25045.5;25045.5;3
20260312 074100;25045.25;25045.25;25045.25;25045.25;1
20260312 074200;25049.5;25049.5;25049;25049;5
20260312 074300;25047.75;25047.75;25047.75;25047.75;1
20260312 074400;25044.25;25044.25;25041.75;25042.75;4
20260312 075100;25040;25040;25040;25040;1
20260312 075200;25034;25035.75;25027.25;25035.75;7
20260312 075300;25041.25;25046;25041.25;25044.25;5
20260312 075400;25047.5;25060.5;25045.5;25060.5;37
20260312 075500;25061;25067;25061;25067;24
20260312 075600;25065;25084.25;25065;25084.25;42
20260312 075700;25080.75;25086.25;25079.5;25079.5;10
20260312 075800;25078.5;25079.5;25071.75;25077.75;27
20260312 075900;25075;25075;25073.75;25073.75;4
20260312 080000;25073.5;25085;25073.5;25085;8
20260312 080100;25088;25099.25;25086.25;25099.25;25
20260312 080200;25100;25103.5;25093.25;25093.25;38
20260312 080300;25094;25106.25;25094;25106.25;7
20260312 080400;25110;25114;25107.75;25113.25;14
20260312 080500;25112;25112;25106;25109.5;5
20260312 080600;25106.25;25111;25103;25110;13
